code,link,title,level
6.637,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-161-modern-optics-project-laboratory-fall-2005,"Modern Optics Project Laboratory
                                   (Fall 2005)",Undergraduate
6.701,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-701-introduction-to-nanoelectronics-spring-2010,"Introduction to Nanoelectronics
                                   (Spring 2010)",Undergraduate
6.801,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-801-machine-vision-fall-2020,"Machine Vision
                                   (Fall 2020)",Undergraduate
6.801,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-801-machine-vision-fall-2004,"Machine Vision
                                   (Fall 2004)",Undergraduate
6.802J,https://ocw.mit.edu//courses/biology/7-91j-foundations-of-computational-and-systems-biology-spring-2014,"Foundations of Computational and Systems Biology
                                   (Spring 2014)",Undergraduate
6.803,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-803-the-human-intelligence-enterprise-spring-2019,"The Human Intelligence Enterprise
                                   (Spring 2019)",Undergraduate
6.804J,https://ocw.mit.edu//courses/brain-and-cognitive-sciences/9-66j-computational-cognitive-science-fall-2004,"Computational Cognitive Science
                                   (Fall 2004)",Undergraduate
6.805,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-805-ethics-and-the-law-on-the-electronic-frontier-fall-2005,"Ethics and the Law on the Electronic Frontier
                                   (Fall 2005)",Undergraduate
6.806,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-805-ethics-and-the-law-on-the-electronic-frontier-fall-2005,"Ethics and the Law on the Electronic Frontier
                                   (Fall 2005)",Undergraduate
6.809,https://ocw.mit.edu//courses/music-and-theater-arts/21m-385-interactive-music-systems-fall-2016,"Interactive Music Systems
                                   (Fall 2016)",Undergraduate
6.811,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-811-principles-and-practice-of-assistive-technology-fall-2014,"Principles and Practice of Assistive Technology
                                   (Fall 2014)",Undergraduate
6.813,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-831-user-interface-design-and-implementation-spring-2011,"User Interface Design and Implementation
                                   (Spring 2011)",Undergraduate
6.814,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-830-database-systems-fall-2010,"Database Systems
                                   (Fall 2010)",Undergraduate
6.820,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-820-fundamentals-of-program-analysis-fall-2015,"Fundamentals of Program Analysis
                                   (Fall 2015)",Undergraduate
6.837,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-837-computer-graphics-fall-2012,"Computer Graphics
                                   (Fall 2012)",Undergraduate
6.901,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-901-inventions-and-patents-fall-2005,"Inventions and Patents
                                   (Fall 2005)",Undergraduate
6.902J,https://ocw.mit.edu//courses/engineering-systems-division/esd-051j-engineering-innovation-and-design-fall-2012,"Engineering Innovation and Design
                                   (Fall 2012)",Undergraduate
6.903J,https://ocw.mit.edu//courses/sloan-school-of-management/15-628j-patents-copyrights-and-the-law-of-intellectual-property-spring-2013,"Patents, Copyrights, and the Law of Intellectual Property
                                   (Spring 2013)",Undergraduate
6.904,https://ocw.mit.edu//courses/chemical-engineering/10-01-ethics-for-engineers-artificial-intelligence-spring-2020,"Ethics for Engineers: Artificial Intelligence
                                   (Spring 2020)",Undergraduate
6.911,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-911-transcribing-prosodic-structure-of-spoken-utterances-with-tobi-january-iap-2006,"Transcribing Prosodic Structure of Spoken Utterances with ToBI
                                   (January IAP 2006)",Undergraduate
6.912,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-912-introduction-to-copyright-law-january-iap-2006,"Introduction to Copyright Law
                                   (January IAP 2006)",Undergraduate
6.930,https://ocw.mit.edu//courses/mechanical-engineering/2-96-management-in-engineering-fall-2012,"Management in Engineering
                                   (Fall 2012)",Undergraduate
6.976,https://ocw.mit.edu//courses/media-arts-and-sciences/mas-965-nextlab-i-designing-mobile-technologies-for-the-next-billion-users-fall-2008,"NextLab I: Designing Mobile Technologies for the Next Billion Users
                                   (Fall 2008)",Undergraduate
6.S079,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-s079-nanomaker-spring-2013,"Nanomaker
                                   (Spring 2013)",Undergraduate
6.S083,https://ocw.mit.edu//courses/mathematics/18-s191-introduction-to-computational-thinking-fall-2020,"Introduction to Computational Thinking
                                   (Fall 2020)",Undergraduate
6.S083,https://ocw.mit.edu//courses/mathematics/18-s190-introduction-to-computational-thinking-with-julia-with-applications-to-modeling-the-covid-19-pandemic-spring-2020,"Introduction to Computational Thinking with Julia, with Applications to Modeling the COVID-19 Pandemic
                                   (Spring 2020)",Undergraduate
6.S095,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-s095-programming-for-the-puzzled-january-iap-2018,"Programming for the Puzzled
                                   (January IAP 2018)",Undergraduate
6.S096,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-s096-effective-programming-in-c-and-c-january-iap-2014,"Effective Programming in C and C++
                                   (January IAP 2014)",Undergraduate
6.S096,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-s096-introduction-to-c-and-c-january-iap-2013,"Introduction to C and C++
                                   (January IAP 2013)",Undergraduate
6.S191,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-s191-introduction-to-deep-learning-january-iap-2020,"Introduction to Deep Learning
                                   (January IAP 2020)",Undergraduate
6.231,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-231-dynamic-programming-and-stochastic-control-fall-2015,"Dynamic Programming and Stochastic Control
                                   (Fall 2015)",Graduate
6.241J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-241j-dynamic-systems-and-control-spring-2011,"Dynamic Systems and Control
                                   (Spring 2011)",Graduate
6.243J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-243j-dynamics-of-nonlinear-systems-fall-2003,"Dynamics of Nonlinear Systems
                                   (Fall 2003)",Graduate
6.245,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-245-multivariable-control-systems-spring-2004,"Multivariable Control Systems
                                   (Spring 2004)",Graduate
6.251J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-251j-introduction-to-mathematical-programming-fall-2009,"Introduction to Mathematical Programming
                                   (Fall 2009)",Graduate
6.252J,https://ocw.mit.edu//courses/sloan-school-of-management/15-084j-nonlinear-programming-spring-2004,"Nonlinear Programming
                                   (Spring 2004)",Graduate
6.252J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-252j-nonlinear-programming-spring-2003,"Nonlinear Programming
                                   (Spring 2003)",Graduate
6.253,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-253-convex-analysis-and-optimization-spring-2012,"Convex Analysis and Optimization
                                   (Spring 2012)",Graduate
6.254,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-254-game-theory-with-engineering-applications-spring-2010,"Game Theory with Engineering Applications
                                   (Spring 2010)",Graduate
6.255J,https://ocw.mit.edu//courses/sloan-school-of-management/15-093j-optimization-methods-fall-2009,"Optimization Methods
                                   (Fall 2009)",Graduate
6.262,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-262-discrete-stochastic-processes-spring-2011,"Discrete Stochastic Processes
                                   (Spring 2011)",Graduate
6.263J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-263j-data-communication-networks-fall-2002,"Data Communication Networks
                                   (Fall 2002)",Graduate
6.264J,https://ocw.mit.edu//courses/sloan-school-of-management/15-072j-queues-theory-and-applications-spring-2006,"Queues: Theory and Applications
                                   (Spring 2006)",Graduate
6.265J,https://ocw.mit.edu//courses/sloan-school-of-management/15-070j-advanced-stochastic-processes-fall-2013,"Advanced Stochastic Processes
                                   (Fall 2013)",Graduate
6.281J,https://ocw.mit.edu//courses/civil-and-environmental-engineering/1-203j-logistical-and-transportation-planning-methods-fall-2006,"Logistical and Transportation Planning Methods
                                   (Fall 2006)",Graduate
6.301,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-301-solid-state-circuits-fall-2010,"Solid-State Circuits
                                   (Fall 2010)",Graduate
6.302,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-302-feedback-systems-spring-2007,"Feedback Systems
                                   (Spring 2007)",Graduate
6.331,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-331-advanced-circuit-techniques-spring-2002,"Advanced Circuit Techniques
                                   (Spring 2002)",Graduate
6.334,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-334-power-electronics-spring-2007,"Power Electronics
                                   (Spring 2007)",Graduate
6.336J,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-336j-introduction-to-numerical-simulation-sma-5211-fall-2003,"Introduction to Numerical Simulation (SMA 5211)
                                   (Fall 2003)",Graduate
6.337J,https://ocw.mit.edu//courses/mathematics/18-335j-introduction-to-numerical-methods-spring-2019,"Introduction to Numerical Methods 
                                   (Spring 2019)",Graduate
6.339J,https://ocw.mit.edu//courses/aeronautics-and-astronautics/16-920j-numerical-methods-for-partial-differential-equations-sma-5212-spring-2003,"Numerical Methods for Partial Differential Equations (SMA 5212)
                                   (Spring 2003)",Graduate
6.341,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-341-discrete-time-signal-processing-fall-2005,"Discrete-Time Signal Processing
                                   (Fall 2005)",Graduate
6.345,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-345-automatic-speech-recognition-spring-2003,"Automatic Speech Recognition
                                   (Spring 2003)",Graduate
6.374,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-374-analysis-and-design-of-digital-integrated-circuits-fall-2003,"Analysis and Design of Digital Integrated Circuits
                                   (Fall 2003)",Graduate
6.431,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-041-probabilistic-systems-analysis-and-applied-probability-fall-2010,"Probabilistic Systems Analysis and Applied Probability
                                   (Fall 2010)",Graduate
6.431,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-041-probabilistic-systems-analysis-and-applied-probability-spring-2006,"Probabilistic Systems Analysis and Applied  Probability
                                   (Spring 2006)",Graduate
6.432,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-432-stochastic-processes-detection-and-estimation-spring-2004,"Stochastic Processes, Detection, and Estimation
                                   (Spring 2004)",Graduate
6.435,https://ocw.mit.edu//courses/electrical-engineering-and-computer-science/6-435-system-identification-spring-2005,"System Identification
                                   (Spring 2005)",Graduate
