model,displ,cyl,trans,drive,fuel,veh_class,air_pollution_score,city_mpg,hwy_mpg,cmb_mpg,greenhouse_gas_score,smartway,year,avg_mpg
NISSAN 350Z Roadster,3.5,6,Man-6,2WD,Gasoline,small car,7,17,24,20,6,smart,2008,47.66666667
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,23,31,26,8,smart,2008,62.66666667
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,9.5,23,32,26,8,smart,2008,63.66666667
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,9.5,23,31,26,8,smart,2008,62.66666667
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,9.5,23,32,26,8,smart,2008,63.66666667
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,26,22,6,smart,2008,52.33333333
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,midsize car,7,19,27,22,6,smart,2008,53.33333333
NISSAN Altima,3.5,6,Auto-AV,2WD,Gasoline,small car,7,19,26,22,6,smart,2008,52.33333333
NISSAN Altima,3.5,6,Man-6,2WD,Gasoline,small car,7,19,27,22,6,smart,2008,53.33333333
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,midsize car,6,23,31,26,8,smart,2008,62.66666667
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,midsize car,6,23,32,26,8,smart,2008,63.66666667
NISSAN Altima,2.5,4,Auto-AV,2WD,Gasoline,small car,6,23,31,26,8,smart,2008,62.66666667
NISSAN Altima,2.5,4,Man-6,2WD,Gasoline,small car,6,23,32,26,8,smart,2008,63.66666667
NISSAN Altima Hybrid,2.5,4,Auto-AV,2WD,Gasoline,midsize car,9.5,35,33,34,9,smart,2008,79.33333333
NISSAN Frontier,2.5,4,Man-5,2WD,Gasoline,pickup,7,19,23,21,6,smart,2008,49
NISSAN Maxima,3.5,6,Auto-AV,2WD,Gasoline,midsize car,7,19,25,21,6,smart,2008,51
NISSAN Rogue,2.5,4,Auto-AV,2WD,Gasoline,SUV,9,22,27,24,7,smart,2008,57
